Contry,MatMedias,MatDesvio
B-S-J-Z (China),591,80
Singapore,569,94
Macao (China),558,81
Hong Kong (China),551,94
Chinese Taipei,531,100
Japan,527,86
Korea,526,100
Estonia,523,82
Netherlands,519,93
Poland,516,90
Switzerland,515,94
Canada,512,92
Denmark,509,82
Slovenia,509,89
Belgium,508,95
Finland,507,82
Sweden,502,91
United Kingdom,502,93
Norway,501,90
Germany,500,95
Ireland,500,78
Czech Republic,499,93
Austria,499,93
Latvia,496,80
France,495,93
Iceland,495,90
New Zealand,494,93
Portugal,492,96
Australia,491,92
Russia,488,86
Italy,487,94
Slovak Republic,486,100
Luxembourg,483,98
Spain,481,88
Lithuania,481,91
Hungary,481,91
United States,478,92
Belarus,472,93
Malta,472,102
Croatia,464,87
Israel,463,108
Turkey,454,88
Ukraine,453,94
Greece,451,89
Cyprus,451,95
Serbia,448,97
Malaysia,440,83
Albania,437,83
Bulgaria,436,97
United Arab Emirates,435,106
Brunei Darussalam,430,91
Romania,430,94
Montenegro,430,83
Kazakhstan,423,87
Moldova,421,94
Baku (Azerbaijan),420,89
Thailand,419,88
Uruguay,418,85
Chile,417,85
Qatar,414,98
Mexico,409,78
Bosnia and Herzegovina,406,82
Costa Rica,402,75
Peru,400,84
Jordan,400,85
Georgia,398,88
North Macedonia,394,93
Lebanon,393,106
Colombia,391,81
Brazil,384,88
Argentina,379,84
Indonesia,379,79
Saudi Arabia,373,79
Morocco,368,76
Kosovo,366,77
Panama,353,77
Philippines,353,78
Dominican Republic,325,71
