Pais,Notas Médias,Teste
Albânia,437,Ciências
Argentina,379,Ciências
Austrália,491,Ciências
Áustria,499,Ciências
B-S-J-Z (China),591,Ciências
"Baku, Azerbaijão)",420,Ciências
Bielo-Rússia,472,Ciências
Bélgica,508,Ciências
Bósnia e Herzegovina,406,Ciências
Brasil,384,Ciências
Brunei Darussalam,430,Ciências
Bulgária,436,Ciências
Canadá,512,Ciências
Chile,417,Ciências
Taipei Chinês,531,Ciências
Colômbia,391,Ciências
Costa Rica,402,Ciências
Croácia,464,Ciências
Chipre,451,Ciências
República Checa,499,Ciências
Dinamarca,509,Ciências
República Dominicana,325,Ciências
Estônia,523,Ciências
Finlândia,507,Ciências
França,495,Ciências
Georgia,398,Ciências
Alemanha,500,Ciências
Grécia,451,Ciências
Hong Kong (China),551,Ciências
Hungria,481,Ciências
Islândia,495,Ciências
Indonésia,379,Ciências
Irlanda,500,Ciências
Israel,463,Ciências
Itália,487,Ciências
Japão,527,Ciências
Jordânia,400,Ciências
Cazaquistão,423,Ciências
Coréia,526,Ciências
Kosovo,366,Ciências
Letônia,496,Ciências
Líbano,393,Ciências
Lituânia,481,Ciências
Luxemburgo,483,Ciências
Macau (China),558,Ciências
Malásia,440,Ciências
Malta,472,Ciências
México,409,Ciências
Moldova,421,Ciências
Montenegro,430,Ciências
Marrocos,368,Ciências
Holanda,519,Ciências
Nova Zelândia,494,Ciências
Macedônia do Norte,394,Ciências
Noruega,501,Ciências
Panamá,353,Ciências
Peru,400,Ciências
Filipinas,353,Ciências
Polônia,516,Ciências
Portugal,492,Ciências
Catar,414,Ciências
Romênia,430,Ciências
Rússia,488,Ciências
Arábia Saudita,373,Ciências
Sérvia,448,Ciências
Cingapura,569,Ciências
República Eslovaca,486,Ciências
Eslovênia,509,Ciências
Espanha,481,Ciências
Suécia,502,Ciências
Suíça,515,Ciências
Tailândia,419,Ciências
Turquia,454,Ciências
Ucrânia,453,Ciências
Emirados Árabes Unidos,435,Ciências
Reino Unido,502,Ciências
Estados Unidos,478,Ciências
Uruguai,418,Ciências
Albânia,417,Matemática
Argentina,404,Matemática
Austrália,503,Matemática
Áustria,490,Matemática
B-S-J-Z (China),590,Matemática
"Baku, Azerbaijão)",398,Matemática
Bielo-Rússia,471,Matemática
Bélgica,499,Matemática
Bósnia e Herzegovina,398,Matemática
Brasil,404,Matemática
Brunei Darussalam,431,Matemática
Bulgária,424,Matemática
Canadá,518,Matemática
Chile,444,Matemática
Taipei Chinês,516,Matemática
Colômbia,413,Matemática
Costa Rica,416,Matemática
Croácia,472,Matemática
Chipre,439,Matemática
República Checa,497,Matemática
Dinamarca,493,Matemática
República Dominicana,336,Matemática
Estônia,530,Matemática
Finlândia,522,Matemática
França,493,Matemática
Georgia,383,Matemática
Alemanha,503,Matemática
Grécia,452,Matemática
Hong Kong (China),517,Matemática
Hungria,481,Matemática
Islândia,475,Matemática
Indonésia,396,Matemática
Irlanda,496,Matemática
Israel,462,Matemática
Itália,468,Matemática
Japão,529,Matemática
Jordânia,429,Matemática
Cazaquistão,397,Matemática
Coréia,519,Matemática
Kosovo,365,Matemática
Letônia,487,Matemática
Líbano,384,Matemática
Lituânia,482,Matemática
Luxemburgo,477,Matemática
Macau (China),544,Matemática
Malásia,438,Matemática
Malta,457,Matemática
México,419,Matemática
Moldova,428,Matemática
Montenegro,415,Matemática
Marrocos,377,Matemática
Holanda,503,Matemática
Nova Zelândia,508,Matemática
Macedônia do Norte,413,Matemática
Noruega,490,Matemática
Panamá,365,Matemática
Peru,404,Matemática
Filipinas,357,Matemática
Polônia,511,Matemática
Portugal,492,Matemática
Catar,419,Matemática
Romênia,426,Matemática
Rússia,478,Matemática
Arábia Saudita,386,Matemática
Sérvia,440,Matemática
Cingapura,551,Matemática
República Eslovaca,464,Matemática
Eslovênia,507,Matemática
Espanha,483,Matemática
Suécia,499,Matemática
Suíça,495,Matemática
Tailândia,426,Matemática
Turquia,468,Matemática
Ucrânia,469,Matemática
Emirados Árabes Unidos,434,Matemática
Reino Unido,505,Matemática
Estados Unidos,502,Matemática
Uruguai,426,Matemática
